"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
656,"90skindagirl","i sat yesterday in tears hoping to not see one of these faces on the news or socials praying for my korean family h",2022-10-30 22:12:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:12:40,22
657,"mikrogalaxies","today is not the day but you decided to post it anyway it makes me sick people are using the tragedy at itaewon",2022-10-30 22:12:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:12:29,22
658,"kryztal___","seeing all the news about the itaewon incident hurts my heart. i send my condolences to anyone affected and i send",2022-10-30 22:12:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:12:04,22
659,"khhslut","got goosebumps watching my itaewon videos/picturesi was at the exact same place where it all happened yesterday.d",2022-10-30 22:12:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:12:02,22
660,"VERMILLIONMANOR","//can i just say, because i feel i need to say it. my heart goes out to korea and the 154+ people who have lost the",2022-10-30 22:11:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:11:54,22
661,"DeweeseLebec","festivals, parties canceled in aftermath of itaewon tragedy",2022-10-30 22:11:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:11:42,22
662,"JaneOginni","this is unhelpful in relation to itaewon. above video relates to cardiac chest pain in a conscious",2022-10-30 22:11:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:11:38,22
663,"nancykpak","wrong. halloween in itaewon is huge yearly event w/ 4600 police d",2022-10-30 22:11:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:11:09,22
664,"kooksdvd","feeling sick to my stomach hearing about everything that happened in itaewon.. my heart goes out to everyone affected by this",2022-10-30 22:10:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:10:49,22
665,"billllliiee","there's a reason why i never want to be in the middle of the crowd and itaewon halloween incident is perfect exampl",2022-10-30 22:10:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:10:47,22
666,"NoonaChronicles","thenoonachronicles: leejihan of produce101s2 passed away in itaewon",2022-10-30 22:10:43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:10:43,22
667,"rebimjongjemal","this is shibuya bruh, not itaewon right.. already written in the caption",2022-10-30 22:10:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:10:32,22
668,"otyelena03","pray for itaewon",2022-10-30 22:10:15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:10:15,22
